year,state,state_po,state_fips,state_cen,state_ic,office,candidate,party,writein,candidatevotes,totalvotes
1976,Alabama,AL,1,63,41,US President,"Carter, Jimmy",democrat,False,659170,1182850
1976,Alabama,AL,1,63,41,US President,"Ford, Gerald",republican,False,504070,1182850
1976,Alabama,AL,1,63,41,US President,"Maddox, Lester",american independent party,False,9198,1182850
1976,Alabama,AL,1,63,41,US President,"Bubar, Benjamin """"Ben""""",prohibition,False,6669,1182850
1976,Alabama,AL,1,63,41,US President,"Hall, Gus",communist party use,False,1954,1182850
1976,Alabama,AL,1,63,41,US President,"Macbride, Roger",libertarian,False,1481,1182850
1976,Alaska,AK,2,94,81,US President,"Ford, Gerald",republican,False,71555,123574
1976,Alaska,AK,2,94,81,US President,"Carter, Jimmy",democrat,False,44058,123574
1976,Alaska,AK,2,94,81,US President,"Macbride, Roger",libertarian,False,6785,123574
1976,Arizona,AZ,4,86,61,US President,"Ford, Gerald",republican,False,418642,742719
1976,Arizona,AZ,4,86,61,US President,"Carter, Jimmy",democrat,False,295602,742719
1976,Arizona,AZ,4,86,61,US President,"McCarthy, Eugene """"Gene""""",independent,False,19229,742719
1976,Arizona,AZ,4,86,61,US President,"Macbride, Roger",libertarian,False,7647,742719
1976,Arizona,AZ,4,86,61,US President,"Camejo, Peter",socialist workers,False,928,742719
1976,Arizona,AZ,4,86,61,US President,"Anderson, Thomas J.",american,False,564,742719
1976,Arizona,AZ,4,86,61,US President,"Maddox, Lester",american independent party,False,85,742719
1976,Arkansas,AR,5,71,42,US President,"Carter, Jimmy",democrat,False,498604,767535
1976,Arkansas,AR,5,71,42,US President,"Ford, Gerald",republican,False,267903,767535
1976,Arkansas,AR,5,71,42,US President,"Maddox, Lester",american independent party,False,389,767535
1976,California,CA,6,93,71,US President,"Ford, Gerald",republican,False,3882244,7803770
1976,California,CA,6,93,71,US President,"Carter, Jimmy",democrat,False,3742284,7803770
1976,California,CA,6,93,71,US President,"Macbride, Roger",independent,False,56388,7803770
1976,California,CA,6,93,71,US President,"Maddox, Lester",american independent party,False,51098,7803770
1976,California,CA,6,93,71,US President,"Wright, Margaret",peace & freedom,False,41731,7803770
1976,California,CA,6,93,71,US President,"Camejo, Peter",independent,False,17259,7803770
1976,California,CA,6,93,71,US President,"Hall, Gus",independent,False,12766,7803770
1976,Colorado,CO,8,84,62,US President,"Ford, Gerald",republican,False,584278,1081440
1976,Colorado,CO,8,84,62,US President,"Carter, Jimmy",democrat,False,460801,1081440
1976,Colorado,CO,8,84,62,US President,"McCarthy, Eugene """"Gene""""",independent,False,26047,1081440
1976,Colorado,CO,8,84,62,US President,"Macbride, Roger",libertarian,False,5338,1081440
1976,Colorado,CO,8,84,62,US President,"Bubar, Benjamin """"Ben""""",prohibition,False,2886,1081440
1976,Colorado,CO,8,84,62,US President,"Camejo, Peter",socialist workers,False,1122,1081440
1976,Colorado,CO,8,84,62,US President,"Larouche, Lyndon, Jr.",u.s. labor,False,565,1081440
1976,Colorado,CO,8,84,62,US President,"Hall, Gus",communist party use,False,403,1081440
1976,Connecticut,CT,9,16,1,US President,"Ford, Gerald",republican,False,719261,1386355
1976,Connecticut,CT,9,16,1,US President,"Carter, Jimmy",democrat,False,647895,1386355
1976,Connecticut,CT,9,16,1,US President,"Maddox, Lester",american independent party,False,7101,1386355
1976,Connecticut,CT,9,16,1,US President,"Larouche, Lyndon, Jr.",u.s. labor,False,1789,1386355
1976,Delaware,DE,10,51,11,US President,"Carter, Jimmy",democrat,False,122461,235642
1976,Delaware,DE,10,51,11,US President,"Ford, Gerald",republican,False,109780,235642
1976,Delaware,DE,10,51,11,US President,"Anderson, Thomas J.",american,False,645,235642
1976,Delaware,DE,10,51,11,US President,"Larouche, Lyndon, Jr.",u.s. labor,False,135,235642
1976,Delaware,DE,10,51,11,US President,"Bubar, Benjamin """"Ben""""",prohibition,False,103,235642
1976,District of Columbia,DC,11,53,55,US President,"Carter, Jimmy",democrat,False,137818,168830
1976,District of Columbia,DC,11,53,55,US President,"Ford, Gerald",republican,False,27873,168830
1976,Florida,FL,12,59,43,US President,"Carter, Jimmy",democrat,False,1636000,3150631
1976,Florida,FL,12,59,43,US President,"Ford, Gerald",republican,False,1469531,3150631
1976,Florida,FL,12,59,43,US President,"McCarthy, Eugene """"Gene""""",independent,False,23643,3150631
1976,Florida,FL,12,59,43,US President,"Anderson, Thomas J.",american,False,21325,3150631
1976,Georgia,GA,13,58,44,US President,"Carter, Jimmy",democrat,False,979409,1463152
1976,Georgia,GA,13,58,44,US President,"Ford, Gerald",republican,False,483743,1463152
1976,Hawaii,HI,15,95,82,US President,"Carter, Jimmy",democrat,False,147375,291301
1976,Hawaii,HI,15,95,82,US President,"Ford, Gerald",republican,False,140003,291301
1976,Hawaii,HI,15,95,82,US President,"Macbride, Roger",libertarian,False,3923,291301
1976,Idaho,ID,16,82,63,US President,"Ford, Gerald",republican,False,204151,340932
1976,Idaho,ID,16,82,63,US President,"Carter, Jimmy",democrat,False,126549,340932
1976,Idaho,ID,16,82,63,US President,"Maddox, Lester",american,False,5935,340932
1976,Idaho,ID,16,82,63,US President,"Macbride, Roger",libertarian,False,3558,340932
1976,Idaho,ID,16,82,63,US President,"Larouche, Lyndon, Jr.",u.s. labor,False,739,340932
1976,Illinois,IL,17,33,21,US President,"Ford, Gerald",republican,False,2364269,4721282
1976,Illinois,IL,17,33,21,US President,"Carter, Jimmy",democrat,False,2271295,4721282
1976,Illinois,IL,17,33,21,US President,"McCarthy, Eugene """"Gene""""",independent,False,55939,4721282
1976,Illinois,IL,17,33,21,US President,"Hall, Gus",communist party use,False,9250,4721282
1976,Illinois,IL,17,33,21,US President,"Macbride, Roger",libertarian,False,8057,4721282
1976,Illinois,IL,17,33,21,US President,"Camejo, Peter",socialist workers,False,3615,4721282
1976,Illinois,IL,17,33,21,US President,"Julius """"Jules"""", Levin",socialist labor,False,2422,4721282
1976,Illinois,IL,17,33,21,US President,"Larouche, Lyndon, Jr.",u.s. labor,False,2018,4721282
1976,Indiana,IN,18,32,22,US President,"Ford, Gerald",republican,False,1183958,2220362
1976,Indiana,IN,18,32,22,US President,"Carter, Jimmy",democrat,False,1014714,2220362
1976,Indiana,IN,18,32,22,US President,"Anderson, Thomas J.",american,False,14048,2220362
1976,Indiana,IN,18,32,22,US President,"Camejo, Peter",socialist workers,False,5695,2220362
